,precision,recall,f1-score,support
positive,0.6909090909090909,0.8036876355748374,0.7430433692654801,1844.0
neutral,0.04419191919191919,0.3431372549019608,0.07829977628635347,102.0
negative,0.8192352259559675,0.4862448418156809,0.6102719033232629,1454.0
micro avg,0.5852631578947368,0.6541176470588236,0.6177777777777778,3400.0
macro avg,0.5181120786856592,0.5443565774308263,0.47720501629169876,3400.0
weighted avg,0.7263858699805635,0.6541176470588236,0.6663217345702287,3400.0
